X,Y
"80,078","77,112"
"80,512","76,597"
"80,996","76,112"
"81,232","75,905"
"81,771","75,488"
"82,346","75,117"
"82,631","74,957"
"82,925","74,809"
"83,568","74,536"
"84,175","74,338"
"84,812","74,156"
"85,457","73,996"
"86,005","73,879"
"86,409","73,817"
"86,731","73,785"
"87,415","73,76"
"88,088","73,792"
"88,756","73,882"
"89,413","74,029"
"90,051","74,229"
"90,672","74,484"
"91,272","74,792"
"91,47","74,444"
"92,067","74,818"
"92,629","75,24"
"93,159","75,715"
"93,399","75,958"
"93,867","76,499"
"94,281","77,07"
"94,646","77,675"
"94,961","78,315"
"94,969","78,335"
"94,776","78,478"
"95,072","79,362"
"95,624","81,362"
"95,998","82,874"
"96,342","84,404"
"96,921","87,246"
"97,938","92,836"
"98,336","94,75"
"98,638","96,006"
"98,746","96,66"
"98,79","97,323"
"98,789","97,639"
"98,736","98,307"
"98,617","98,972"
"98,537","99,283"
"98,319","99,929"
"98,038","100,552"
"97,88","100,841"
"97,666","101,187"
"97,473","101,464"
"97,172","101,845"
"96,815","102,236"
"96,594","102,449"
"96,147","102,825"
"95,716","103,13"
"95,503","103,264"
"95,016","103,527"
"94,379","103,801"
"93,848","103,977"
"91,815","104,52"
"91,324","104,619"
"91,007","104,663"
"90,339","104,708"
"89,666","104,688"
"89,348","104,654"
"88,679","104,534"
"88,027","104,347"
"87,395","104,096"
"86,79","103,783"
"86,219","103,41"
"85,69","102,982"
"85,207","102,506"
"84,845","102,074"
"84,587","101,721"
"84,241","101,148"
"83,954","100,551"
"83,724","99,92"
"83,38","98,756"
"82,708","96,739"
"81,263","92,813"
"80,551","90,812"
"79,939","88,965"
"79,592","87,828"
"79,031","85,817"
"78,767","84,808"
"78,515","83,801"
"78,328","82,884"
"78,098","82,858"
"78,055","82,475"
"78,04","82,135"
"78,053","81,415"
"78,081","81,075"
"78,185","80,369"
"78,347","79,685"
"78,566","79,016"
"78,846","78,358"
"78,998","78,054"
"79,357","77,442"
"79,761","76,868"
"80,217","76,327"
"80,722","75,821"
"80,977","75,596"
"81,54","75,161"
"82,14","74,774"
"82,444","74,604"
"82,757","74,446"
"83,428","74,161"
"84,058","73,956"
"84,709","73,769"
"85,367","73,606"
"85,933","73,486"
"86,359","73,42"
"86,703","73,386"
"87,418","73,359"
"88,125","73,394"
"88,827","73,488"
"89,517","73,642"
"90,187","73,852"
"90,839","74,12"
"91,47","74,444"
"91,668","74,096"
"92,294","74,488"
"92,883","74,931"
"93,435","75,425"
"93,693","75,687"
"94,18","76,25"
"94,614","76,848"
"94,997","77,483"
"95,326","78,152"
"95,456","78,473"
"95,248","78,627"
"95,455","79,245"
"96,011","81,261"
"96,387","82,783"
"96,733","84,32"
"97,314","87,171"
"98,331","92,759"
"98,727","94,662"
"99,03","95,926"
"99,144","96,614"
"99,19","97,311"
"99,189","97,656"
"99,133","98,358"
"99,008","99,057"
"98,921","99,396"
"98,692","100,075"
"98,396","100,73"
"98,226","101,042"
98,"101,407"
"97,795","101,703"
"97,476","102,104"
"97,101","102,515"
"96,861","102,747"
"96,392","103,142"
"95,938","103,464"
"95,704","103,609"
"95,191","103,887"
"94,521","104,176"
"93,962","104,36"
"91,906","104,91"
"91,391","105,013"
"91,048","105,061"
"90,346","105,109"
"89,639","105,087"
"89,291","105,051"
"88,588","104,924"
"87,898","104,726"
"87,229","104,461"
"86,588","104,129"
"85,984","103,734"
"85,423","103,281"
"84,913","102,777"
"84,53","102,321"
"84,254","101,942"
"83,888","101,339"
"83,585","100,706"
"83,344","100,046"
"82,998","98,876"
"82,33","96,871"
"80,887","92,949"
"80,173","90,942"
"79,557","89,086"
"79,208","87,94"
"78,645","85,922"
"78,379","84,907"
"78,125","83,889"
"77,995","83,249"
"77,737","83,22"
"77,656","82,507"
"77,639","82,14"
"77,653","81,395"
"77,684","81,029"
"77,792","80,294"
"77,961","79,577"
"78,191","78,875"
"78,482","78,19"
"78,647","77,863"
"79,02","77,225"
"79,444","76,623"
"79,922","76,056"
"80,448","75,529"
"80,722","75,288"
"81,308","74,834"
"81,933","74,431"
"82,256","74,25"
"82,588","74,083"
"83,287","73,786"
"83,941","73,573"
"84,606","73,383"
"85,277","73,216"
"85,861","73,092"
"86,308","73,024"
"86,676","72,986"
"87,42","72,959"
"88,161","72,995"
"88,897","73,094"
"89,62","73,255"
"90,323","73,476"
"91,007","73,756"
"91,668","74,096"
"94,644","82,163"
"94,759","82,614"
"94,748","82,625"
"94,851","83,087"
"94,871","83,067"
"94,888","83,136"
"94,976","83,528"
"94,955","83,549"
"94,998","83,74"
"95,066","84,003"
"95,08","83,99"
"95,183","84,452"
"96,724","92,528"
"96,701","92,551"
"96,757","93,061"
"96,811","93,007"
"96,819","93,054"
"96,907","93,476"
"96,813","93,57"
"96,828","93,7"
"96,878","94,071"
"97,004","93,945"
"97,102","94,413"
"96,945","94,57"
"96,981","94,839"
"97,015","95,066"
"97,199","94,881"
"97,224","94,999"
"97,272","95,199"
"97,306","95,34"
"97,089","95,557"
"97,163","96,049"
"97,415","95,797"
"97,52","96,232"
"97,523","96,254"
"97,23","96,548"
"97,267","97,076"
"97,603","96,74"
"97,612","96,792"
"97,644","97,265"
"97,261","97,648"
"97,261","97,68"
"97,201","98,264"
"97,199","98,276"
"97,629","97,846"
"97,604","98,162"
"97,544","98,496"
"97,042","98,998"
"96,924","99,411"
"96,755","99,851"
"97,34","99,266"
"97,257","99,511"
"97,017","100,044"
"96,895","100,267"
"96,879","100,293"
"96,058","101,113"
"95,748","101,493"
"95,612","101,634"
"95,48","101,755"
"95,226","101,945"
"94,852","102,32"
"94,519","102,5"
"93,974","102,735"
"93,821","102,785"
"94,228","102,378"
"94,038","102,427"
"93,524","102,517"
"93,023","103,017"
"92,251","103,223"
"92,839","102,636"
"92,624","102,673"
"92,133","102,776"
"91,486","103,423"
"91,132","103,495"
"90,889","103,529"
"90,809","103,534"
"91,417","102,926"
"91,237","102,964"
"90,928","103,013"
"90,745","103,033"
"90,214","103,564"
"89,742","103,549"
"89,67","103,542"
"90,156","103,056"
"90,052","103,055"
"89,626","103,02"
"89,18","103,466"
"88,937","103,422"
"88,721","103,36"
"89,141","102,94"
"89,056","102,925"
"88,693","102,822"
"88,29","103,225"
"88,001","103,11"
"87,885","103,064"
"88,277","102,672"
"88,081","102,594"
"87,889","102,495"
"87,511","102,873"
"87,365","102,797"
"87,184","102,678"
"87,157","102,661"
"87,525","102,293"
"87,19","102,074"
"87,183","102,069"
"86,821","102,431"
"86,508","102,178"
"86,871","101,815"
"86,788","101,749"
"86,579","101,542"
"86,218","101,902"
"86,046","101,732"
"85,954","101,622"
"85,944","101,611"
"86,308","101,247"
"86,1","100,996"
"86,057","100,932"
"85,691","101,299"
"85,537","101,088"
"85,461","100,963"
"85,83","100,593"
"85,819","100,577"
"85,631","100,227"
"85,248","100,61"
"85,245","100,605"
"85,064","100,228"
"85,457","99,835"
"85,389","99,672"
"85,309","99,417"
"84,903","99,824"
"84,807","99,563"
"84,76","99,401"
"85,174","98,986"
"85,04","98,555"
"84,63","98,965"
"84,501","98,528"
"84,902","98,127"
"84,759","97,705"
"84,363","98,101"
"84,222","97,676"
"84,616","97,282"
"84,609","97,259"
"84,465","96,867"
"84,08","97,252"
"83,939","96,828"
"84,313","96,453"
"84,234","96,238"
"84,158","96,043"
"83,798","96,403"
"83,784","96,362"
"83,647","95,989"
"83,999","95,637"
"83,839","95,23"
"83,494","95,575"
"83,342","95,162"
"83,673","94,831"
"83,507","94,431"
"83,19","94,748"
"83,038","94,335"
"83,341","94,032"
"83,175","93,632"
"82,886","93,921"
"82,734","93,508"
"83,009","93,232"
"82,843","92,833"
"82,581","93,094"
"82,429","92,681"
"82,676","92,433"
"82,51","92,034"
"82,278","92,266"
"82,13","91,849"
"82,344","91,634"
"82,178","91,235"
"81,982","91,431"
"81,833","91,014"
"82,013","90,834"
"81,852","90,429"
"81,685","90,597"
"81,629","90,441"
"81,541","90,175"
"81,691","90,024"
"81,53","89,62"
"81,4","89,75"
"81,259","89,325"
"81,372","89,213"
"81,217","88,802"
"81,118","88,901"
"81,025","88,619"
"80,98","88,473"
"81,062","88,391"
"80,918","87,969"
"80,848","88,039"
"80,716","87,605"
"80,774","87,548"
"80,63","87,126"
"80,591","87,165"
"80,467","86,723"
"80,486","86,704"
"80,404","86,465"
"80,348","86,277"
"80,344","86,281"
"79,681","79,307"
"83,707","75,281"
"83,828","75,23"
"84,392","75,046"
"85,004","74,87"
"85,622","74,717"
"85,702","74,7"
"79,217","81,185"
"79,214","81,205"
"79,192","81,473"
"79,185","81,833"
"79,279","81,844"
"79,397","82,419"
"87,312","74,504"
"87,411","74,5"
"88,021","74,53"
"88,62","74,611"
"79,638","83,592"
"79,871","84,525"
"79,923","84,722"
"89,738","74,906"
"89,799","74,925"
"90,362","75,156"
"90,719","75,34"
"80,459","85,6"
"80,553","85,573"
"80,785","86,343"
"80,873","86,6"
"91,589","75,884"
"91,905","76,122"
"92,359","76,528"
"81,233","87,654"
"81,446","88,278"
"81,605","88,697"
"93,023","77,278"
"93,33","77,7"
"93,508","77,997"
"93,432","78,053"
"93,49","78,226"
"81,999","89,716"
"82,402","90,728"
"93,845","79,285"
"93,981","79,694"
"94,169","80,375"
"82,816","91,728"
"83,232","92,727"
"94,154","81,805"
"94,413","82,96"
"83,647","93,726"
"84,062","94,724"
"94,68","84,107"
"94,902","84,961"
"95,273","84,871"
"95,283","84,918"
"84,467","95,734"
"84,608","96,096"
"84,853","96,763"
"95,522","86,093"
"95,762","87,268"
"85,218","97,812"
"85,337","98,164"
"85,561","98,883"
"95,983","88,46"
"96,201","89,657"
"85,929","99,929"
"85,944","99,963"
"86,162","100,37"
"86,421","100,756"
"86,464","100,808"
"96,419","90,853"
"96,587","91,781"
"96,219","91,835"
"96,282","92,404"
"87,155","101,531"
"87,426","101,75"
"87,824","102,011"
"87,999","102,101"
"96,423","93,678"
"96,431","93,748"
"96,585","94,895"
"96,589","94,926"
"89,017","102,498"
"89,146","102,535"
"89,611","102,618"
"90,071","102,655"
"90,271","102,658"
"96,774","96,155"
"96,825","96,495"
"96,867","97,088"
"96,863","97,48"
"91,934","102,409"
"92,549","102,28"
"93,673","102,085"
"96,572","99,185"
"102,057","98,206"
"102,028","97,926"
"102,011","97,476"
"102,023","97,03"
"102,047","96,769"
"102,147","96,163"
"102,477","94,776"
"102,946","92,484"
"103,832","87,571"
"104,138","86,027"
"104,565","84,001"
"105,151","81,56"
"105,695","79,595"
"106,138","78,26"
"106,01","78,148"
"106,049","78,072"
"106,387","77,512"
"106,761","76,997"
"107,18","76,512"
"107,638","76,066"
"108,129","75,663"
"108,652","75,304"
"109,208","74,988"
"109,789","74,72"
"110,385","74,504"
111,"74,339"
"111,63","74,227"
"112,267","74,169"
"112,907","74,165"
"113,555","74,217"
"113,928","74,274"
"114,453","74,385"
"115,084","74,542"
"115,707","74,721"
"116,297","74,913"
"116,892","75,166"
"117,461","75,468"
"117,998","75,815"
"118,501","76,204"
"118,971","76,636"
"119,404","77,108"
"119,793","77,612"
"120,136","78,145"
"120,434","78,708"
"120,688","79,307"
"120,805","79,647"
"120,964","80,217"
"121,038","80,578"
"121,123","81,158"
"121,151","81,543"
"121,16","82,115"
"121,159","82,137"
"121,037","82,151"
"120,455","84,619"
"120,197","85,608"
"119,732","87,286"
"119,298","88,724"
"118,692","90,554"
"118,353","91,514"
"116,537","96,475"
"115,856","98,518"
"115,561","99,528"
"115,419","99,957"
"115,181","100,522"
"115,064","100,752"
"114,751","101,269"
"114,397","101,742"
"113,995","102,18"
"113,547","102,58"
"113,062","102,933"
"112,543","103,236"
"111,996","103,485"
"111,429","103,679"
"110,849","103,813"
"110,26","103,89"
"109,754","103,907"
"109,393","103,896"
"108,794","103,826"
"108,37","103,741"
"106,175","103,146"
"105,629","102,942"
"105,118","102,694"
"104,87","102,554"
"104,533","102,332"
"104,193","102,073"
"103,88","101,796"
"103,624","101,536"
"103,293","101,149"
"102,972","100,699"
"102,672","100,179"
"102,419","99,62"
"102,326","99,366"
"102,204","98,949"
"102,1","98,483"
"102,057","98,206"
"101,66","98,257"
"101,629","97,954"
"101,611","97,478"
"101,624","97,006"
"101,65","96,718"
"101,755","96,084"
"102,086","94,69"
"102,554","92,409"
"103,439","87,496"
"103,746","85,947"
"104,175","83,913"
"104,763","81,46"
"105,313","79,479"
"105,675","78,386"
"105,514","78,245"
"105,552","78,162"
"105,7","77,876"
"106,053","77,291"
"106,447","76,748"
"106,889","76,238"
"107,371","75,767"
"107,888","75,343"
"108,439","74,964"
"109,025","74,631"
"109,637","74,349"
"110,265","74,122"
"110,913","73,949"
"111,577","73,83"
"112,248","73,769"
"112,922","73,765"
"113,601","73,819"
114,"73,88"
"114,543","73,996"
"115,188","74,156"
"115,825","74,338"
"116,437","74,538"
"117,065","74,805"
"117,663","75,123"
"118,229","75,488"
"118,76","75,898"
"119,255","76,353"
"119,711","76,851"
"120,12","77,381"
"120,481","77,943"
"120,795","78,536"
"121,062","79,163"
"121,187","79,528"
"121,353","80,123"
"121,433","80,509"
"121,52","81,115"
"121,551","81,525"
"121,56","82,123"
"121,54","82,497"
"121,361","82,517"
"120,844","84,716"
"120,583","85,712"
"120,117","87,396"
"119,68","88,845"
"119,07","90,683"
"118,73","91,649"
"116,915","96,607"
"116,238","98,638"
"115,943","99,648"
"115,794","100,097"
"115,544","100,691"
"115,413","100,947"
"115,083","101,493"
"114,705","101,998"
"114,276","102,465"
"113,799","102,891"
"113,281","103,268"
"112,728","103,592"
"112,144","103,857"
"111,539","104,064"
"110,92","104,208"
"110,293","104,289"
"109,755","104,308"
"109,364","104,295"
"108,731","104,222"
"108,278","104,131"
"106,052","103,527"
"105,471","103,31"
"104,932","103,048"
"104,661","102,895"
"104,302","102,659"
"103,939","102,382"
"103,605","102,087"
"103,329","101,806"
"102,978","101,396"
"102,635","100,915"
"102,315","100,362"
"102,048","99,771"
"101,946","99,491"
"101,816","99,049"
"101,706","98,557"
"101,66","98,257"
"101,263","98,307"
"101,23","97,982"
"101,211","97,481"
"101,224","96,983"
"101,253","96,667"
"101,362","96,005"
"101,696","94,603"
"102,161","92,333"
"103,046","87,422"
"103,354","85,868"
"103,784","83,825"
"104,376","81,361"
"104,93","79,362"
"105,212","78,512"
"105,026","78,35"
"105,192","77,987"
"105,351","77,68"
"105,719","77,07"
"106,133","76,499"
"106,597","75,963"
"107,104","75,469"
"107,647","75,023"
"108,227","74,625"
"108,842","74,275"
"109,485","73,979"
"110,145","73,74"
"110,826","73,558"
"111,523","73,433"
"112,229","73,369"
"112,936","73,365"
"113,648","73,421"
"114,072","73,487"
"114,633","73,606"
"115,291","73,769"
"115,942","73,956"
"116,578","74,163"
"117,237","74,444"
"117,866","74,777"
"118,46","75,161"
"119,018","75,592"
"119,538","76,07"
"120,017","76,593"
"120,447","77,151"
"120,827","77,741"
"121,157","78,364"
"121,436","79,02"
"121,569","79,409"
"121,742","80,028"
"121,827","80,44"
"121,918","81,071"
"121,951","81,507"
"121,96","82,131"
"121,935","82,585"
"121,904","82,858"
"121,686","82,883"
"121,232","84,812"
"120,969","85,817"
"120,501","87,507"
"120,061","88,966"
"119,449","90,813"
"119,106","91,785"
"117,292","96,739"
"116,62","98,757"
"116,325","99,767"
"116,168","100,238"
"115,907","100,859"
"115,763","101,142"
"115,415","101,717"
"115,013","102,253"
"114,557","102,75"
"114,051","103,203"
"113,5","103,604"
"112,912","103,947"
"112,292","104,23"
"111,649","104,449"
"110,991","104,602"
"110,326","104,688"
"109,755","104,708"
"109,334","104,695"
"108,669","104,617"
"108,186","104,52"
"105,93","103,908"
"105,314","103,678"
"104,746","103,403"
"104,453","103,237"
"104,07","102,986"
"103,685","102,691"
"103,329","102,377"
"103,035","102,077"
"102,663","101,643"
"102,299","101,132"
"101,959","100,545"
"101,678","99,922"
"101,566","99,616"
"101,429","99,149"
"101,313","98,631"
"101,263","98,307"
"100,867","98,358"
"100,831","98,01"
"100,811","97,483"
"100,825","96,959"
"100,856","96,616"
"100,97","95,926"
"101,305","94,517"
"101,768","92,257"
"102,653","87,347"
"102,962","85,788"
"103,394","83,737"
"103,989","81,261"
"104,547","79,245"
"104,749","78,638"
"104,549","78,464"
"104,621","78,274"
"104,832","77,812"
"105,002","77,485"
"105,386","76,848"
"105,82","76,25"
"106,306","75,689"
"106,837","75,171"
"107,407","74,703"
"108,014","74,286"
"108,659","73,919"
"109,333","73,608"
"110,025","73,358"
"110,739","73,167"
"111,47","73,037"
"112,209","72,969"
"112,951","72,965"
"113,694","73,024"
"114,144","73,093"
"114,722","73,216"
"115,394","73,383"
"116,059","73,573"
"116,719","73,788"
"117,41","74,083"
"118,068","74,432"
"118,692","74,834"
"119,276","75,286"
"119,821","75,787"
"120,323","76,335"
"120,774","76,92"
"121,173","77,539"
"121,518","78,192"
"121,809","78,876"
"121,952","79,29"
"122,131","79,934"
"122,221","80,371"
"122,316","81,028"
"122,35","81,489"
"122,36","82,139"
"122,334","82,619"
"122,265","83,22"
"122,011","83,249"
"121,62","84,908"
"121,355","85,921"
"120,886","87,618"
"120,443","89,087"
"119,827","90,942"
"119,483","91,92"
"117,67","96,871"
"117,002","98,876"
"116,707","99,886"
"116,543","100,379"
"116,27","101,028"
"116,113","101,337"
"115,747","101,941"
"115,321","102,509"
"114,839","103,035"
"114,302","103,514"
"113,719","103,939"
"113,096","104,303"
"112,44","104,602"
"111,759","104,834"
"111,063","104,996"
"110,358","105,087"
"109,756","105,108"
"109,305","105,094"
"108,606","105,013"
"108,094","104,91"
"105,807","104,289"
"105,156","104,046"
"104,561","103,757"
"104,245","103,579"
"103,839","103,312"
"103,431","103,001"
"103,054","102,667"
"102,74","102,347"
"102,347","101,889"
"101,962","101,349"
"101,603","100,728"
"101,307","100,073"
"101,186","99,741"
"101,041","99,249"
"100,92","98,705"
"100,867","98,358"
"103,226","92,814"
"103,276","92,764"
"103,206","93,4"
"103,08","93,526"
"102,934","94,237"
"103,126","94,046"
"103,044","94,673"
"103,04","94,697"
"102,785","94,953"
"102,608","95,695"
"102,94","95,363"
"102,84","96,028"
"102,449","96,419"
"102,385","96,812"
"102,363","97,05"
"102,362","97,072"
"102,761","96,673"
"102,733","97,076"
"102,735","97,265"
"102,358","97,642"
"102,368","97,901"
"102,395","98,163"
"102,396","98,17"
"102,753","97,813"
"102,799","98,264"
"102,81","98,321"
"102,485","98,647"
"102,533","98,864"
"102,601","99,096"
"102,904","98,793"
"102,913","98,842"
"103,026","99,237"
"102,746","99,517"
"102,885","99,825"
"102,922","99,907"
"103,171","99,658"
"103,283","99,952"
"103,335","100,059"
"103,12","100,275"
"103,258","100,514"
"103,336","100,624"
"103,52","100,44"
"103,525","100,453"
"103,731","100,794"
"103,573","100,953"
"103,834","101,258"
"103,962","101,129"
"104,091","101,304"
"104,215","101,441"
"104,114","101,55"
"104,411","101,812"
"104,493","101,73"
"104,52","101,755"
"104,813","101,975"
"104,732","102,056"
"105,047","102,263"
"105,075","102,279"
"105,177","102,177"
"105,514","102,311"
"105,589","102,33"
"105,445","102,474"
"105,763","102,629"
"105,831","102,654"
"106,044","102,441"
"106,526","102,525"
"106,243","102,808"
"106,279","102,822"
"106,685","102,932"
"107,008","102,609"
"107,38","102,674"
"107,486","102,696"
"107,13","103,052"
"107,575","103,173"
"107,956","102,792"
"108,425","102,888"
"108,02","103,294"
"108,448","103,41"
"108,466","103,414"
"108,895","102,985"
"108,93","102,992"
"109,408","103,037"
"108,944","103,502"
"109,301","103,543"
"109,418","103,557"
"109,453","103,558"
"109,964","103,047"
"110,176","103,042"
"110,428","103,017"
"110,588","102,988"
"110,018","103,558"
"110,232","103,551"
"110,645","103,497"
"111,326","102,816"
"111,438","102,784"
"111,918","102,594"
"112,322","102,385"
"111,368","103,34"
"111,871","103,169"
"112,3","102,973"
"114,849","100,424"
"114,872","100,379"
"115,016","100,038"
"115,101","99,837"
"115,215","99,493"
"114,239","100,469"
"114,418","100,135"
"114,619","99,655"
"114,687","99,455"
"115,452","98,69"
"115,532","98,417"
"115,718","97,859"
"114,939","98,638"
"115,041","98,296"
"115,207","97,803"
116,"97,011"
"116,216","96,363"
"116,293","96,152"
"115,51","96,935"
"115,766","96,238"
"115,846","96,034"
"116,62","95,26"
"116,947","94,367"
"116,215","95,099"
"116,618","94,13"
"117,273","93,475"
"117,6","92,582"
"117,021","93,162"
"117,423","92,193"
"117,927","91,69"
"118,034","91,398"
"118,241","90,81"
"117,826","91,225"
"117,942","90,946"
"118,208","90,277"
"118,533","89,952"
"118,583","89,802"
"118,814","89,106"
"118,581","89,339"
"118,923","88,43"
"119,079","88,275"
"119,301","87,538"
"119,323","87,465"
"119,218","87,57"
"119,512","86,711"
"119,549","86,673"
"105,344","82,211"
"105,182","82,939"
"105,166","82,955"
"104,987","83,699"
"105,01","83,676"
"104,822","84,43"
